company,open,High,Low,close,change,Trades,Volume,Date
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-11-04
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-11-05
NOTORE [BLS],62.5,--,--,62.5,,1,1,2021-11-08
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-11-09
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-11-10
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-11-11
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-11-12
NOTORE [BLS],62.5,--,--,62.5,,0,--,2021-11-15
NOTORE [BLS],62.5,--,--,62.50,,0,--,2021-11-16
NPFMCRFBK,1.65,--,--,1.65,,4,"41,850",2021-09-30
NPFMCRFBK,1.65,--,--,1.65,,9,"157,700",2021-10-04
NPFMCRFBK,1.71,--,--,1.71,,11,"65,738",2021-10-06
NPFMCRFBK,1.71,1.80,1.75,1.8,0.09,5,"292,950",2021-10-08
NPFMCRFBK,1.8,1.80,1.75,1.75,-0.05,14,"4,000,470",2021-10-11
NPFMCRFBK,1.75,--,--,1.75,,10,"133,261",2021-10-12
NPFMCRFBK,1.75,1.75,1.75,1.75,0.0,7,"745,994",2021-10-13
NPFMCRFBK,1.75,1.80,1.80,1.8,0.05,8,"554,888",2021-10-14
NPFMCRFBK,1.85,1.77,1.70,1.71,-0.14,26,"2,402,483",2021-10-18
NPFMCRFBK,1.71,1.82,1.80,1.81,0.1,18,"2,520,951",2021-10-20
NPFMCRFBK,1.81,1.79,1.70,1.75,-0.06,18,"1,713,891",2021-10-21
NPFMCRFBK,1.75,1.77,1.75,1.75,0.0,15,"4,049,965",2021-10-22
NPFMCRFBK,1.75,1.85,1.80,1.85,0.1,31,"1,509,951",2021-10-25
NPFMCRFBK,1.85,1.95,1.87,1.92,0.07,62,"4,252,656",2021-10-26
NPFMCRFBK,1.92,1.95,1.93,1.93,0.01,26,"1,245,299",2021-10-27
NPFMCRFBK,1.93,1.95,1.93,1.93,0.0,12,"721,091",2021-10-28
NPFMCRFBK,1.93,1.95,1.95,1.95,0.02,14,"511,623",2021-10-29
NPFMCRFBK,1.95,--,--,1.95,,12,"244,577",2021-11-01
NPFMCRFBK,1.95,--,--,1.95,,9,"133,189",2021-11-02
NPFMCRFBK,1.95,--,--,1.95,,11,"147,745",2021-11-03
